Source,Target,W,Weight,Sight
1,0,0.0031479084203070583,0.0031479084203070583,1
2,0,-0.0015617641941560836,0.0015617641941560836,0
3,0,-0.002066002325376461,0.002066002325376461,0
4,0,-0.000885985596743236,0.000885985596743236,0
5,0,0.005646011544788363,0.005646011544788363,1
6,0,0.005146841442679895,0.005146841442679895,1
7,0,-0.024779632308141994,0.024779632308141994,0
8,0,0.008102419031908706,0.008102419031908706,1
9,0,0.024586719922320602,0.024586719922320602,1
0,1,-0.000255775850403981,0.000255775850403981,0
2,1,-0.003083820065499666,0.003083820065499666,0
3,1,0.005986679285697318,0.005986679285697318,1
4,1,-0.023306362088281577,0.023306362088281577,0
5,1,-0.002857139856891852,0.002857139856891852,0
6,1,-0.016015752350644414,0.016015752350644414,0
7,1,0.009596884049929418,0.009596884049929418,1
8,1,-0.0033147643546666706,0.0033147643546666706,0
9,1,-0.010111212721847295,0.010111212721847295,0
0,2,0.008099919875580138,0.008099919875580138,1
1,2,-0.0076187083502032345,0.0076187083502032345,0
3,2,-0.005950131186782456,0.005950131186782456,0
4,2,-0.020106285971216397,0.020106285971216397,0
5,2,-0.003012861060295642,0.003012861060295642,0
6,2,0.013090997380177206,0.013090997380177206,1
7,2,-0.04078088674788112,0.04078088674788112,0
8,2,-0.008813357293202227,0.008813357293202227,0
9,2,-0.03976191737184239,0.03976191737184239,0
0,3,0.003976999139820127,0.003976999139820127,1
1,3,-0.0063675185795474395,0.0063675185795474395,0
2,3,-0.0023539629057419986,0.0023539629057419986,0
4,3,-0.0020281669936071446,0.0020281669936071446,0
5,3,0.0004549236881770322,0.0004549236881770322,1
6,3,0.01992532144082771,0.01992532144082771,1
7,3,-0.01176920067005302,0.01176920067005302,0
8,3,-0.021075741859730115,0.021075741859730115,0
9,3,-0.012601672816344283,0.012601672816344283,0
0,4,-0.004566224182300865,0.004566224182300865,0
1,4,-0.005565443353732168,0.005565443353732168,0
2,4,-0.010244327335752305,0.010244327335752305,0
3,4,0.0007298732626397007,0.0007298732626397007,1
5,4,-0.0034510539385488753,0.0034510539385488753,0
6,4,-0.003025926970080357,0.003025926970080357,0
7,4,-0.008292248031826828,0.008292248031826828,0
8,4,0.01865979054234611,0.01865979054234611,1
9,4,0.0016025462918724945,0.0016025462918724945,1
0,5,0.009023783446457772,0.009023783446457772,1
1,5,-0.002318644995787356,0.002318644995787356,0
2,5,0.0005277603415923131,0.0005277603415923131,1
3,5,0.00990418624823823,0.00990418624823823,1
4,5,-0.0034154909180629314,0.0034154909180629314,0
6,5,-0.003952271071294597,0.003952271071294597,0
7,5,0.039786437744206864,0.039786437744206864,1
8,5,-0.014381630272101441,0.014381630272101441,0
9,5,-0.006309292021595848,0.006309292021595848,0
0,6,0.000770787906784267,0.000770787906784267,1
1,6,0.005575223291861191,0.005575223291861191,1
2,6,0.001803366848786368,0.001803366848786368,1
3,6,0.006936458565260987,0.006936458565260987,1
4,6,0.0021884458984149213,0.0021884458984149213,1
5,6,-0.005828821963973085,0.005828821963973085,0
7,6,0.013330023006431706,0.013330023006431706,1
8,6,0.015468367603188132,0.015468367603188132,1
9,6,-0.004107723457392988,0.004107723457392988,0
0,7,-0.0007735110623211342,0.0007735110623211342,0
1,7,0.0049404175371003875,0.0049404175371003875,1
2,7,-0.001977001477478096,0.001977001477478096,0
3,7,-0.0005102921952261312,0.0005102921952261312,0
4,7,-0.0030432741023812162,0.0030432741023812162,0
5,7,0.006343030611529293,0.006343030611529293,1
6,7,-0.011872578868384515,0.011872578868384515,0
8,7,0.011625685176180796,0.011625685176180796,1
9,7,0.023504904131620263,0.023504904131620263,1
0,8,0.02874282285825062,0.02874282285825062,1
1,8,-0.023478792471761267,0.023478792471761267,0
2,8,0.0093910845275224,0.0093910845275224,1
3,8,-0.015277956306818488,0.015277956306818488,0
4,8,0.02095572227192161,0.02095572227192161,1
5,8,-0.012005791127942903,0.012005791127942903,0
6,8,0.04613686525447632,0.04613686525447632,1
7,8,-0.014436474914942031,0.014436474914942031,0
9,8,-0.04922505860939996,0.04922505860939996,0
0,9,0.002179180104614468,0.002179180104614468,1
1,9,-0.010848955650175223,0.010848955650175223,0
2,9,-0.005742219499597428,0.005742219499597428,0
3,9,0.013903055816414682,0.013903055816414682,1
4,9,0.006053990597091422,0.006053990597091422,1
5,9,-0.011334817800965888,0.011334817800965888,0
6,9,0.007377297981281742,0.007377297981281742,1
7,9,0.016353222484129164,0.016353222484129164,1
8,9,-0.018043489271971424,0.018043489271971424,0
