Source,Target,W,Weight,Sight
1,0,-0.00818954158391633,0.00818954158391633,0
2,0,0.00029766686349357854,0.00029766686349357854,1
3,0,-0.0182279806451771,0.0182279806451771,0
4,0,0.025437439516818854,0.025437439516818854,1
5,0,0.019488830456425393,0.019488830456425393,1
6,0,0.03801462117501466,0.03801462117501466,1
7,0,0.009818239910196471,0.009818239910196471,1
8,0,0.006663283395201392,0.006663283395201392,1
9,0,0.0712454703481323,0.0712454703481323,1
0,1,0.0023157918747390084,0.0023157918747390084,1
2,1,-0.0046145486770939,0.0046145486770939,0
3,1,-0.005424869759949959,0.005424869759949959,0
4,1,0.008692936415094972,0.008692936415094972,1
5,1,0.014236090899269915,0.014236090899269915,1
6,1,0.006670157573729897,0.006670157573729897,1
7,1,0.014472659197887384,0.014472659197887384,1
8,1,0.009361027726251405,0.009361027726251405,1
9,1,0.00837773243623038,0.00837773243623038,1
0,2,0.032286121303805204,0.032286121303805204,1
1,2,0.019899537581205717,0.019899537581205717,1
3,2,0.04184576441713474,0.04184576441713474,1
4,2,-0.010287050984588325,0.010287050984588325,0
5,2,0.03892126499263978,0.03892126499263978,1
6,2,-0.10534194384752171,0.10534194384752171,0
7,2,-0.04474403849154427,0.04474403849154427,0
8,2,-0.035750186030473204,0.035750186030473204,0
9,2,0.023564292398213945,0.023564292398213945,1
0,3,-0.004351469224691678,0.004351469224691678,0
1,3,0.0028265507142595284,0.0028265507142595284,1
2,3,0.02111348757785583,0.02111348757785583,1
4,3,0.005469324009528952,0.005469324009528952,1
5,3,-0.009753239359516629,0.009753239359516629,0
6,3,0.020171513014000636,0.020171513014000636,1
7,3,0.01651038575248286,0.01651038575248286,1
8,3,0.012315269092294965,0.012315269092294965,1
9,3,-0.006982303362696158,0.006982303362696158,0
0,4,0.006362613101618892,0.006362613101618892,1
1,4,0.0016616570086190245,0.0016616570086190245,1
2,4,-0.012994957406097308,0.012994957406097308,0
3,4,0.009321388027609366,0.009321388027609366,1
5,4,0.038681583313179224,0.038681583313179224,1
6,4,0.008114667324726653,0.008114667324726653,1
7,4,-0.013262490871605456,0.013262490871605456,0
8,4,0.0006336578044920826,0.0006336578044920826,1
9,4,0.022161656457477634,0.022161656457477634,1
0,5,-0.00020315759834344354,0.00020315759834344354,0
1,5,0.009293736707354536,0.009293736707354536,1
2,5,0.013411084754604126,0.013411084754604126,1
3,5,0.012225580372192155,0.012225580372192155,1
4,5,-0.0019712511991740365,0.0019712511991740365,0
6,5,-0.029943607554711135,0.029943607554711135,0
7,5,-0.010235052210241175,0.010235052210241175,0
8,5,-0.01312115518560619,0.01312115518560619,0
9,5,-0.01147473674697519,0.01147473674697519,0
0,6,-0.0025448041366922386,0.0025448041366922386,0
1,6,0.0004511161712698376,0.0004511161712698376,1
2,6,-0.005684302024550795,0.005684302024550795,0
3,6,0.017065400465428315,0.017065400465428315,1
4,6,-0.007781431937661173,0.007781431937661173,0
5,6,-0.01242908348153923,0.01242908348153923,0
7,6,-0.01944250870041068,0.01944250870041068,0
8,6,-0.0063087103192853485,0.0063087103192853485,0
9,6,-0.03264507132867084,0.03264507132867084,0
0,7,0.012260493673654903,0.012260493673654903,1
1,7,0.005274531217931478,0.005274531217931478,1
2,7,-0.012937973786051937,0.012937973786051937,0
3,7,-0.0026906520565630537,0.0026906520565630537,0
4,7,0.016024002161526774,0.016024002161526774,1
5,7,0.00408682875777731,0.00408682875777731,1
6,7,-0.00858518644681798,0.00858518644681798,0
8,7,0.0034612568873507734,0.0034612568873507734,1
9,7,0.04657493267489237,0.04657493267489237,1
0,8,-0.004491625171131073,0.004491625171131073,0
1,8,0.0019186437220889956,0.0019186437220889956,1
2,8,0.005417081956281039,0.005417081956281039,1
3,8,0.0014629796861751825,0.0014629796861751825,1
4,8,-0.004693956731547319,0.004693956731547319,0
5,8,-0.007696235343583325,0.007696235343583325,0
6,8,0.0013174316294063523,0.0013174316294063523,1
7,8,0.0033297683349956526,0.0033297683349956526,1
9,8,-0.022448979509281132,0.022448979509281132,0
0,9,-0.009591836869569412,0.009591836869569412,0
1,9,-0.004546935728050432,0.004546935728050432,0
2,9,0.022225733240142934,0.022225733240142934,1
3,9,0.01858166728580015,0.01858166728580015,1
4,9,-0.05049893801979143,0.05049893801979143,0
5,9,-0.028685900824229938,0.028685900824229938,0
6,9,-0.030689365332658286,0.030689365332658286,0
7,9,-0.009237810126156798,0.009237810126156798,0
8,9,0.007924633660026853,0.007924633660026853,1
