Source,Target,W,Weight,Sight
1,0,-0.00511210234656007,0.00511210234656007,0
2,0,0.00721609904512167,0.00721609904512167,1
3,0,-0.003914671549621628,0.003914671549621628,0
4,0,-0.005112905970330288,0.005112905970330288,0
5,0,0.01460819591424882,0.01460819591424882,1
6,0,0.031432917518118116,0.031432917518118116,1
7,0,0.016197823149946812,0.016197823149946812,1
8,0,-0.01383601011845901,0.01383601011845901,0
9,0,0.013295422495595038,0.013295422495595038,1
0,1,0.006225867689805038,0.006225867689805038,1
2,1,-0.008928175553602542,0.008928175553602542,0
3,1,0.008118777782772866,0.008118777782772866,1
4,1,-0.0024495596999211428,0.0024495596999211428,0
5,1,0.011578641352418689,0.011578641352418689,1
6,1,0.017251970853244425,0.017251970853244425,1
7,1,0.04541323816405304,0.04541323816405304,1
8,1,-0.012444894164001843,0.012444894164001843,0
9,1,0.01479864862736204,0.01479864862736204,1
0,2,0.02096718940557053,0.02096718940557053,1
1,2,-0.06823873302171009,0.06823873302171009,0
3,2,0.04851789153865121,0.04851789153865121,1
4,2,-0.10251696793256763,0.10251696793256763,0
5,2,-0.07076283022512046,0.07076283022512046,0
6,2,-0.1287457220653687,0.1287457220653687,0
7,2,-0.027426668439442553,0.027426668439442553,0
8,2,-0.0009029843677360596,0.0009029843677360596,0
9,2,-0.0051788037977628315,0.0051788037977628315,0
0,3,-0.0015273350749255303,0.0015273350749255303,0
1,3,0.04671033895007154,0.04671033895007154,1
2,3,0.06836790255784295,0.06836790255784295,1
4,3,0.03156623835687402,0.03156623835687402,1
5,3,0.014766170973130559,0.014766170973130559,1
6,3,0.08099970204778179,0.08099970204778179,1
7,3,0.01958243179906443,0.01958243179906443,1
8,3,-0.02941237340676841,0.02941237340676841,0
9,3,-0.04123759489547458,0.04123759489547458,0
0,4,-0.009029741132571076,0.009029741132571076,0
1,4,-0.00958210305252896,0.00958210305252896,0
2,4,-0.0027353841572556633,0.0027353841572556633,0
3,4,0.010626511357394322,0.010626511357394322,1
5,4,0.003678218327948583,0.003678218327948583,1
6,4,0.017587325822200663,0.017587325822200663,1
7,4,-0.006400801422132847,0.006400801422132847,0
8,4,-0.023479986787341617,0.023479986787341617,0
9,4,0.006780623772907958,0.006780623772907958,1
0,5,0.018253264719101086,0.018253264719101086,1
1,5,0.0055217099660632585,0.0055217099660632585,1
2,5,-0.007810886644086531,0.007810886644086531,0
3,5,-0.02477902672491117,0.02477902672491117,0
4,5,0.005698757352817656,0.005698757352817656,1
6,5,0.004095789610408047,0.004095789610408047,1
7,5,0.005767244245177419,0.005767244245177419,1
8,5,-0.01528731890261788,0.01528731890261788,0
9,5,-0.019047010062579844,0.019047010062579844,0
0,6,0.014491292309724424,0.014491292309724424,1
1,6,-0.020866885205348285,0.020866885205348285,0
2,6,-0.02609003163327695,0.02609003163327695,0
3,6,0.045301316204578376,0.045301316204578376,1
4,6,-0.06192578479527842,0.06192578479527842,0
5,6,-0.04401473857389913,0.04401473857389913,0
7,6,-0.007671777019640404,0.007671777019640404,0
8,6,-0.018446459919382787,0.018446459919382787,0
9,6,-0.053724691077930875,0.053724691077930875,0
0,7,0.010254704876178002,0.010254704876178002,1
1,7,-0.002889195500527619,0.002889195500527619,0
2,7,-0.014253763302132651,0.014253763302132651,0
3,7,-0.003400058762328988,0.003400058762328988,0
4,7,-0.024898403043588552,0.024898403043588552,0
5,7,-0.010473900794915536,0.010473900794915536,0
6,7,-0.011001312241962215,0.011001312241962215,0
8,7,0.0073568614740257285,0.0073568614740257285,1
9,7,0.003416961113771667,0.003416961113771667,1
0,8,0.013671670193062216,0.013671670193062216,1
1,8,-0.016386248691234506,0.016386248691234506,0
2,8,-0.012885564937617534,0.012885564937617534,0
3,8,-0.010398383377177791,0.010398383377177791,0
4,8,-0.028274050158878558,0.028274050158878558,0
5,8,-0.005462212601745955,0.005462212601745955,0
6,8,-0.005472309495517084,0.005472309495517084,0
7,8,-0.003984767108722251,0.003984767108722251,0
9,8,-0.03283521308144011,0.03283521308144011,0
0,9,0.008248543975424438,0.008248543975424438,1
1,9,0.002983934207150982,0.002983934207150982,1
2,9,0.014057595418781732,0.014057595418781732,1
3,9,-0.020005165887179217,0.020005165887179217,0
4,9,0.013833336601048815,0.013833336601048815,1
5,9,-0.010849550536239079,0.010849550536239079,0
6,9,-0.014123040424536017,0.014123040424536017,0
7,9,0.05872660219539143,0.05872660219539143,1
8,9,-0.035714897945947816,0.035714897945947816,0
