Source,Target,W,Weight,Sight
1,0,-0.0012746052672453145,0.0012746052672453145,0
2,0,0.003421346197123044,0.003421346197123044,1
3,0,0.0028809281423501313,0.0028809281423501313,1
4,0,0.0041670966530556915,0.0041670966530556915,1
5,0,0.007949929877290266,0.007949929877290266,1
6,0,0.006091568595648887,0.006091568595648887,1
7,0,0.0044118940535687505,0.0044118940535687505,1
8,0,-0.013337935709937514,0.013337935709937514,0
9,0,0.00462649781904462,0.00462649781904462,1
0,1,-0.021971086340177092,0.021971086340177092,0
2,1,-0.010065700272229567,0.010065700272229567,0
3,1,0.0020118779500674904,0.0020118779500674904,1
4,1,-0.027642885364829832,0.027642885364829832,0
5,1,-0.00950363558710582,0.00950363558710582,0
6,1,-0.0024272363437978692,0.0024272363437978692,0
7,1,0.028913024815384054,0.028913024815384054,1
8,1,-0.011140343263516135,0.011140343263516135,0
9,1,-0.027000371010591134,0.027000371010591134,0
0,2,0.0011148667356559855,0.0011148667356559855,1
1,2,-0.017971226809355364,0.017971226809355364,0
3,2,-0.037232988534880496,0.037232988534880496,0
4,2,0.0006517552023519902,0.0006517552023519902,1
5,2,0.02587496648907389,0.02587496648907389,1
6,2,0.026610642622822235,0.026610642622822235,1
7,2,0.051184148750974386,0.051184148750974386,1
8,2,0.007976622868209896,0.007976622868209896,1
9,2,0.011172056446239668,0.011172056446239668,1
0,3,-0.0044969711366761545,0.0044969711366761545,0
1,3,0.0007346702479215186,0.0007346702479215186,1
2,3,-0.002724011044564351,0.002724011044564351,0
4,3,0.0022941398557090016,0.0022941398557090016,1
5,3,-0.01020843662507113,0.01020843662507113,0
6,3,0.010041996806430564,0.010041996806430564,1
7,3,0.00748429143753309,0.00748429143753309,1
8,3,0.006405600391721698,0.006405600391721698,1
9,3,-0.0038862431303198683,0.0038862431303198683,0
0,4,-0.009156447523668657,0.009156447523668657,0
1,4,-0.006010046167120973,0.006010046167120973,0
2,4,-0.005345257020663035,0.005345257020663035,0
3,4,0.0007623868749974327,0.0007623868749974327,1
5,4,-0.0024912701046602083,0.0024912701046602083,0
6,4,0.0042417664337083905,0.0042417664337083905,1
7,4,0.01448180442273144,0.01448180442273144,1
8,4,-0.006582665126264815,0.006582665126264815,0
9,4,-0.009941325403880142,0.009941325403880142,0
0,5,-0.0005030516644361846,0.0005030516644361846,0
1,5,0.010772227019928396,0.010772227019928396,1
2,5,0.021360793447876832,0.021360793447876832,1
3,5,0.008612958220034128,0.008612958220034128,1
4,5,-0.002459783813771651,0.002459783813771651,0
6,5,-0.0184284512200322,0.0184284512200322,0
7,5,-0.022600018303158914,0.022600018303158914,0
8,5,0.006123869257676821,0.006123869257676821,1
9,5,-0.004214864230314331,0.004214864230314331,0
0,6,0.00112214409487798,0.00112214409487798,1
1,6,-0.00435847907517264,0.00435847907517264,0
2,6,-0.006960517635238071,0.006960517635238071,0
3,6,-0.008337914552656204,0.008337914552656204,0
4,6,-0.0029830691640955515,0.0029830691640955515,0
5,6,0.011953953297009056,0.011953953297009056,1
7,6,0.0066576302740147105,0.0066576302740147105,1
8,6,0.0047961035943560396,0.0047961035943560396,1
9,6,-0.004537489393028871,0.004537489393028871,0
0,7,0.01168979865660086,0.01168979865660086,1
1,7,0.012487803338466802,0.012487803338466802,1
2,7,0.014560974529431713,0.014560974529431713,1
3,7,0.005860064880290831,0.005860064880290831,1
4,7,0.015509694443017478,0.015509694443017478,1
5,7,0.004695417560933899,0.004695417560933899,1
6,7,-0.00663334848474177,0.00663334848474177,0
8,7,-0.010857250555328822,0.010857250555328822,0
9,7,0.02349114987457756,0.02349114987457756,1
0,8,-0.003634664258333731,0.003634664258333731,0
1,8,0.003182144773755251,0.003182144773755251,1
2,8,-0.002598500784232168,0.002598500784232168,0
3,8,-0.0024230877446711576,0.0024230877446711576,0
4,8,-0.003929219323412792,0.003929219323412792,0
5,8,-0.005457351056449753,0.005457351056449753,0
6,8,0.0019226088591487434,0.0019226088591487434,1
7,8,-0.00012804675423458103,0.00012804675423458103,0
9,8,-0.00034234757216023716,0.00034234757216023716,0
0,9,-0.010032056628693825,0.010032056628693825,0
1,9,-0.004458426354626905,0.004458426354626905,0
2,9,-0.008519640190403025,0.008519640190403025,0
3,9,-0.007623871312893654,0.007623871312893654,0
4,9,-0.02432191673335921,0.02432191673335921,0
5,9,-0.0046835764938874345,0.0046835764938874345,0
6,9,0.0004897509045676955,0.0004897509045676955,1
7,9,-0.010647913211578281,0.010647913211578281,0
8,9,0.024022689202714824,0.024022689202714824,1
