Source,Target,W,Weight,Sight
1,0,-0.006749526653405255,0.006749526653405255,0
2,0,0.0016734133291404305,0.0016734133291404305,1
3,0,-0.006776480754387012,0.006776480754387012,0
4,0,-0.011385559236329208,0.011385559236329208,0
5,0,0.013577516428160073,0.013577516428160073,1
6,0,0.01540925366405166,0.01540925366405166,1
7,0,-0.03491979936117696,0.03491979936117696,0
8,0,-0.017650506411004328,0.017650506411004328,0
9,0,-0.0010564106187803326,0.0010564106187803326,0
0,1,-0.014136333322207867,0.014136333322207867,0
2,1,0.0019335172395966954,0.0019335172395966954,1
3,1,0.009221044792066571,0.009221044792066571,1
4,1,-0.0331139234517329,0.0331139234517329,0
5,1,0.0046337413585334055,0.0046337413585334055,1
6,1,-0.005303075338712702,0.005303075338712702,0
7,1,-0.00024017334519749273,0.00024017334519749273,0
8,1,-0.02471800820617778,0.02471800820617778,0
9,1,0.002944128680736125,0.002944128680736125,1
0,2,0.009153815011970146,0.009153815011970146,1
1,2,-0.002294468900718311,0.002294468900718311,0
3,2,0.016930197634010626,0.016930197634010626,1
4,2,-7.037582879291657e-05,7.037582879291657e-05,0
5,2,-0.015962513028408374,0.015962513028408374,0
6,2,-0.0009930980343904204,0.0009930980343904204,0
7,2,0.04589473957457298,0.04589473957457298,1
8,2,-0.008313766258120813,0.008313766258120813,0
9,2,0.02631867454360277,0.02631867454360277,1
0,3,0.0013996213993797166,0.0013996213993797166,1
1,3,-0.005366380646304516,0.005366380646304516,0
2,3,0.007920211757026806,0.007920211757026806,1
4,3,0.011311060535623783,0.011311060535623783,1
5,3,-0.0008959648576291221,0.0008959648576291221,0
6,3,0.011184833205777229,0.011184833205777229,1
7,3,-0.006673657650332745,0.006673657650332745,0
8,3,0.01527793507465432,0.01527793507465432,1
9,3,-0.006887002475873822,0.006887002475873822,0
0,4,-0.012185154765923597,0.012185154765923597,0
1,4,-0.0126629090743979,0.0126629090743979,0
2,4,0.0023559280421628207,0.0023559280421628207,1
3,4,0.012025291814430798,0.012025291814430798,1
5,4,0.008401571254201151,0.008401571254201151,1
6,4,0.021077309555540307,0.021077309555540307,1
7,4,-0.02523672013393685,0.02523672013393685,0
8,4,-0.007811716021491437,0.007811716021491437,0
9,4,0.004542252507669683,0.004542252507669683,1
0,5,0.012705764564779036,0.012705764564779036,1
1,5,-0.00811163576875483,0.00811163576875483,0
2,5,0.0029371164351370952,0.0029371164351370952,1
3,5,-0.008766943387128917,0.008766943387128917,0
4,5,0.02177036914936908,0.02177036914936908,1
6,5,-0.001174108739724345,0.001174108739724345,0
7,5,-0.007115589843009384,0.007115589843009384,0
8,5,0.040733553265500703,0.040733553265500703,1
9,5,-0.008489070027522718,0.008489070027522718,0
0,6,-3.44574066909454e-05,3.44574066909454e-05,0
1,6,0.010857881165041125,0.010857881165041125,1
2,6,0.014328462417678016,0.014328462417678016,1
3,6,0.013781924352978366,0.013781924352978366,1
4,6,-0.01543319066774483,0.01543319066774483,0
5,6,-0.009082263977411497,0.009082263977411497,0
7,6,0.020119821952243308,0.020119821952243308,1
8,6,-0.014979200280314403,0.014979200280314403,0
9,6,-0.013896007696243008,0.013896007696243008,0
0,7,0.01114411073951386,0.01114411073951386,1
1,7,-0.0038224638464721787,0.0038224638464721787,0
2,7,0.010774313139070723,0.010774313139070723,1
3,7,0.0052632312826474984,0.0052632312826474984,1
4,7,0.021652955042689114,0.021652955042689114,1
5,7,0.007432344581484738,0.007432344581484738,1
6,7,0.010086203330430855,0.010086203330430855,1
8,7,0.021687477338212215,0.021687477338212215,1
9,7,0.017855476971551498,0.017855476971551498,1
0,8,-0.003783833384023485,0.003783833384023485,0
1,8,0.006783903579904637,0.006783903579904637,1
2,8,-0.001247905816574791,0.001247905816574791,0
3,8,0.01200776197654864,0.01200776197654864,1
4,8,-0.00625118009811743,0.00625118009811743,0
5,8,0.0007772141625655617,0.0007772141625655617,1
6,8,-0.01535127608773073,0.01535127608773073,0
7,8,0.029354167870450757,0.029354167870450757,1
9,8,0.0014401850763138173,0.0014401850763138173,1
0,9,0.004514322199356318,0.004514322199356318,1
1,9,0.02512822839788899,0.02512822839788899,1
2,9,0.013572129617481032,0.013572129617481032,1
3,9,0.023271890943869927,0.023271890943869927,1
4,9,-0.007637984564858289,0.007637984564858289,0
5,9,-0.01039076955715462,0.01039076955715462,0
6,9,-0.05386388142675525,0.05386388142675525,0
7,9,0.046103526076445515,0.046103526076445515,1
8,9,0.04443626672184632,0.04443626672184632,1
