Source,Target,W,Weight,Sight
1,0,0.00460647069996218,0.00460647069996218,1
2,0,0.004361588909997789,0.004361588909997789,1
3,0,0.003372763295827922,0.003372763295827922,1
4,0,-0.01782060851104034,0.01782060851104034,0
5,0,-0.019312254311660063,0.019312254311660063,0
6,0,0.025974054251146995,0.025974054251146995,1
7,0,-0.007132322960168614,0.007132322960168614,0
8,0,0.01470645710533983,0.01470645710533983,1
9,0,0.03399821954418123,0.03399821954418123,1
0,1,-0.02392392978579735,0.02392392978579735,0
2,1,-0.03697273018595771,0.03697273018595771,0
3,1,0.024349375757964503,0.024349375757964503,1
4,1,-0.015394427626808892,0.015394427626808892,0
5,1,-0.01141095586183278,0.01141095586183278,0
6,1,-0.021082394972795758,0.021082394972795758,0
7,1,0.033066123206581616,0.033066123206581616,1
8,1,-0.0334914508925351,0.0334914508925351,0
9,1,0.01583395541130118,0.01583395541130118,1
0,2,0.004290912947321891,0.004290912947321891,1
1,2,-0.02471550945654018,0.02471550945654018,0
3,2,0.02164439151806353,0.02164439151806353,1
4,2,0.008422814163438059,0.008422814163438059,1
5,2,-0.015788183307572975,0.015788183307572975,0
6,2,-0.049369276002009785,0.049369276002009785,0
7,2,-0.016367074651390822,0.016367074651390822,0
8,2,-0.0026599878088630984,0.0026599878088630984,0
9,2,-0.027294649644465912,0.027294649644465912,0
0,3,0.0036582980586520575,0.0036582980586520575,1
1,3,0.01659793140464311,0.01659793140464311,1
2,3,0.026837350803882148,0.026837350803882148,1
4,3,-0.0003405040848685127,0.0003405040848685127,0
5,3,-0.006150213317619612,0.006150213317619612,0
6,3,0.0076164212222407665,0.0076164212222407665,1
7,3,-0.010731217184416855,0.010731217184416855,0
8,3,-0.01021020271112389,0.01021020271112389,0
9,3,-0.007557843859671087,0.007557843859671087,0
0,4,-0.016627852735747923,0.016627852735747923,0
1,4,-0.0049971984512485424,0.0049971984512485424,0
2,4,-0.022052853942966733,0.022052853942966733,0
3,4,0.010037468701579124,0.010037468701579124,1
5,4,-0.031688568096843145,0.031688568096843145,0
6,4,0.00421447883983304,0.00421447883983304,1
7,4,-0.007642749287932691,0.007642749287932691,0
8,4,-0.024545658240164497,0.024545658240164497,0
9,4,-0.001468119208938767,0.001468119208938767,0
0,5,-0.009319804505004723,0.009319804505004723,0
1,5,0.007472595511210322,0.007472595511210322,1
2,5,-0.0014769985681224245,0.0014769985681224245,0
3,5,-0.017368448090748667,0.017368448090748667,0
4,5,-0.029298245301108833,0.029298245301108833,0
6,5,0.01340195555204724,0.01340195555204724,1
7,5,0.01607108355353982,0.01607108355353982,1
8,5,-0.049268142448787376,0.049268142448787376,0
9,5,-0.00017202463293005332,0.00017202463293005332,0
0,6,0.017655014459890137,0.017655014459890137,1
1,6,-0.01084215630726599,0.01084215630726599,0
2,6,-0.007285791990712982,0.007285791990712982,0
3,6,0.009179553316035479,0.009179553316035479,1
4,6,0.01466153905914679,0.01466153905914679,1
5,6,0.02217103691707572,0.02217103691707572,1
7,6,-0.016039260009415433,0.016039260009415433,0
8,6,0.002261629304714803,0.002261629304714803,1
9,6,-0.007929959090884845,0.007929959090884845,0
0,7,0.01996003937716244,0.01996003937716244,1
1,7,-0.008197962245249083,0.008197962245249083,0
2,7,0.009501339321026033,0.009501339321026033,1
3,7,-0.006506178578232264,0.006506178578232264,0
4,7,0.021030674925797313,0.021030674925797313,1
5,7,0.03471835172228726,0.03471835172228726,1
6,7,-0.013395725144873664,0.013395725144873664,0
8,7,0.07587099420856298,0.07587099420856298,1
9,7,-0.01603376896584019,0.01603376896584019,0
0,8,0.001276414666066138,0.001276414666066138,1
1,8,-0.008000398957685128,0.008000398957685128,0
2,8,0.008176099203001816,0.008176099203001816,1
3,8,-0.013459278602711471,0.013459278602711471,0
4,8,-0.03941664356897453,0.03941664356897453,0
5,8,-0.004797524696307885,0.004797524696307885,0
6,8,0.018581371186230364,0.018581371186230364,1
7,8,-0.017051640147276684,0.017051640147276684,0
9,8,0.03862971266520906,0.03862971266520906,1
0,9,-0.007189530123478106,0.007189530123478106,0
1,9,0.013528673028559698,0.013528673028559698,1
2,9,-0.01137996345198622,0.01137996345198622,0
3,9,-0.0011382259612162469,0.0011382259612162469,0
4,9,-0.007171500630844638,0.007171500630844638,0
5,9,-0.03946483834564283,0.03946483834564283,0
6,9,0.027038938682950108,0.027038938682950108,1
7,9,0.011940197059632554,0.011940197059632554,1
8,9,0.011269801443447186,0.011269801443447186,1
