Source,Target,W,Weight,Sight
1,0,0.002179880787024637,0.002179880787024637,1
2,0,0.0019422777501672036,0.0019422777501672036,1
3,0,0.005990671239770272,0.005990671239770272,1
4,0,0.006168295237261422,0.006168295237261422,1
5,0,0.008163872985144633,0.008163872985144633,1
6,0,0.03205247610088223,0.03205247610088223,1
7,0,0.003909066742496545,0.003909066742496545,1
8,0,0.01151716836428975,0.01151716836428975,1
9,0,0.030024639295075668,0.030024639295075668,1
0,1,0.0017406146949765391,0.0017406146949765391,1
2,1,-0.0023691839411275387,0.0023691839411275387,0
3,1,0.020708852486892623,0.020708852486892623,1
4,1,-0.03601353867400976,0.03601353867400976,0
5,1,-0.000812969483596605,0.000812969483596605,0
6,1,-0.022985821625392713,0.022985821625392713,0
7,1,0.04321687892278689,0.04321687892278689,1
8,1,-0.025609986879475112,0.025609986879475112,0
9,1,-0.02672882815474447,0.02672882815474447,0
0,2,0.0068962977386692065,0.0068962977386692065,1
1,2,-0.006202407005109401,0.006202407005109401,0
3,2,0.010479972518143978,0.010479972518143978,1
4,2,-0.0033584575876463886,0.0033584575876463886,0
5,2,0.036596639872784234,0.036596639872784234,1
6,2,-0.029103878086965126,0.029103878086965126,0
7,2,-0.020650336963233554,0.020650336963233554,0
8,2,-0.005856822807322643,0.005856822807322643,0
9,2,0.003808477566921486,0.003808477566921486,1
0,3,-0.012428176584222716,0.012428176584222716,0
1,3,0.00835789555025329,0.00835789555025329,1
2,3,-0.0033656503360255325,0.0033656503360255325,0
4,3,0.010222719809061564,0.010222719809061564,1
5,3,-0.012061977620784904,0.012061977620784904,0
6,3,0.006632376418016629,0.006632376418016629,1
7,3,-0.016870819367701725,0.016870819367701725,0
8,3,-0.007193254308839941,0.007193254308839941,0
9,3,0.026348199339464435,0.026348199339464435,1
0,4,-0.0018023767888153389,0.0018023767888153389,0
1,4,-0.010189151808249463,0.010189151808249463,0
2,4,-0.0007905019784454258,0.0007905019784454258,0
3,4,0.009108892750988196,0.009108892750988196,1
5,4,-0.004828508254269194,0.004828508254269194,0
6,4,-0.0140597821278076,0.0140597821278076,0
7,4,0.021561576551304848,0.021561576551304848,1
8,4,-0.014350217615455867,0.014350217615455867,0
9,4,-0.012034620482192577,0.012034620482192577,0
0,5,0.007089078758755222,0.007089078758755222,1
1,5,-0.008445971073729528,0.008445971073729528,0
2,5,0.011589989019123125,0.011589989019123125,1
3,5,-0.0026400639855973227,0.0026400639855973227,0
4,5,-0.0192453358706874,0.0192453358706874,0
6,5,0.006503042933228434,0.006503042933228434,1
7,5,0.03180475473886999,0.03180475473886999,1
8,5,-0.024857718754425842,0.024857718754425842,0
9,5,-0.014489746489496132,0.014489746489496132,0
0,6,0.010939481888896452,0.010939481888896452,1
1,6,-0.005911392593988284,0.005911392593988284,0
2,6,0.003952817842564472,0.003952817842564472,1
3,6,0.0019593716324761983,0.0019593716324761983,1
4,6,-0.012913353594357064,0.012913353594357064,0
5,6,-0.004732589455835157,0.004732589455835157,0
7,6,-0.010248725389237191,0.010248725389237191,0
8,6,-0.006003607460421753,0.006003607460421753,0
9,6,-0.00184798731559104,0.00184798731559104,0
0,7,-0.009188934596730407,0.009188934596730407,0
1,7,0.01681899188179989,0.01681899188179989,1
2,7,-0.010188260267508744,0.010188260267508744,0
3,7,-0.002094667567101097,0.002094667567101097,0
4,7,0.030703124176235153,0.030703124176235153,1
5,7,0.015432993350416353,0.015432993350416353,1
6,7,-0.012556832313989755,0.012556832313989755,0
8,7,0.020169466387090072,0.020169466387090072,1
9,7,0.03418578940327259,0.03418578940327259,1
0,8,0.015426133683855323,0.015426133683855323,1
1,8,0.01310178744800614,0.01310178744800614,1
2,8,-0.011519647442072282,0.011519647442072282,0
3,8,0.00860753731747817,0.00860753731747817,1
4,8,0.0017191101600731948,0.0017191101600731948,1
5,8,-0.02407590207446214,0.02407590207446214,0
6,8,-0.0012131445729305212,0.0012131445729305212,0
7,8,0.011091001624001194,0.011091001624001194,1
9,8,-0.0667760679915998,0.0667760679915998,0
0,9,0.019100252919181635,0.019100252919181635,1
1,9,0.020182058161126816,0.020182058161126816,1
2,9,-0.010395535917851542,0.010395535917851542,0
3,9,-0.005764604076590623,0.005764604076590623,0
4,9,0.005134639898214869,0.005134639898214869,1
5,9,-0.0023578702841863634,0.0023578702841863634,0
6,9,0.005505391596216076,0.005505391596216076,1
7,9,0.026405871424835654,0.026405871424835654,1
8,9,-0.06033755642241604,0.06033755642241604,0
