ID,Label,Lat,Lon
0,0,0,10
1,1,5.8999999999999995,8.100000000000001
2,2,9.5,3.1
3,3,9.5,-3.1
4,4,5.8999999999999995,-8.100000000000001
5,5,0,-10
6,6,-5.8999999999999995,-8.100000000000001
7,7,-9.5,-3.1
8,8,-9.5,3.1
9,9,-5.8999999999999995,8.100000000000001
